trust,intimacy,moderated,activity-id,face-to-face,activity-title,activity-visual,suitable-family,suitable-lovers,suitable-friends,activity-description,suitable-colleagues,online,sequence,18plus,eco
3,5,1,5,1,Visit a different city,https://api.fliplet.com/v1/media/files/6004959/contents/F2F%20-%20Visit%20a%20different%20city-01.jpg,1,1,1,"The day to day familiarity of our neighbourhood can be comforting, but sometimes we need a change of scenery. Just look on the map or think of a place you'd like to visit, and when you have the time, plan a little trip.",,,,,
3,5,1,7,1,Explore abandoned buildings,https://api.fliplet.com/v1/media/files/6002564/contents/F2F%20-%20Explore%20abandoned%20buildings.jpg,1,1,1,"You'll be amazed what you see inside abandoned buildings. If you see a gate open, dare to enter but look around for dangers like collapsing floors or ceilings. Also make sure that you remember where the exit is!",,,,,
3,5,1,13,1,Organize a flash mob on a topic important to you,https://api.fliplet.com/v1/media/files/5979515/contents/husband-same-person.jpg,1,1,1,"First think of what is really important to you and how you want to express it: music, speaking, movement, anything goes! Then do this short performance in a public place, as if it just happened spontaneously.",,,,,
2,5,1,21,1,Go for a massage or to a spa,https://api.fliplet.com/v1/media/files/6002557/contents/F2F%20-%20Go%20to%20a%20massage%20-spa1.jpg,1,1,1,,,,,,
3,5,1,22,1,Have a blind conversation,https://api.fliplet.com/v1/media/files/5979515/contents/husband-same-person.jpg,1,1,1,"Take it in turns to be blindfolded. Pick a topic, focus on your partner's voice and see how it feels to talk with somebody you can't see.",1,1,,,
3,5,1,44,1,"Do a fake wedding proposal in a public space (eg. cafe, restaurant, pub etc.)",https://api.fliplet.com/v1/media/files/5979515/contents/husband-same-person.jpg,,1,1,"Get over the fear of ""what will they say?"" and have some fun observing people's reactions to a spontaneous proposal. The more dramatic it gets, the harder you'll laugh!",,,,,
2,5,1,51,1,Have a deep conversation,https://api.fliplet.com/v1/media/files/5979515/contents/husband-same-person.jpg,1,1,1,,1,1,,,
2,5,1,54,1,Create a page to post thoughts/ opinions/ creative work,https://api.fliplet.com/v1/media/files/5979515/contents/husband-same-person.jpg,1,1,1,,1,1,,,
3,5,1,65,,Work out together from home,https://api.fliplet.com/v1/media/files/5979515/contents/husband-same-person.jpg,1,1,1,"Find a video that suits you, make a video call and have a session of movement and fun! Cheer each other on or laugh at your struggles: working out doesn't have to be only you and your laptop.",1,1,13,,
3,5,1,71,1,Learn how to develop your social skills,https://api.fliplet.com/v1/media/files/5979515/contents/husband-same-person.jpg,1,1,1,"Learn information and exercises from Psychology that help you have better conversations and relationships. By practicing together, you'll increase your confidence and abilities.",1,1,,,
3,5,1,76,1,Take a guided walk,https://api.fliplet.com/v1/media/files/5979515/contents/husband-same-person.jpg,1,1,1,"Walk together with your headphones on, and hear a story that will guide you to be more present and curious about the world around.",1,,,,
2,5,1,77,,Create a digital collage together,https://api.fliplet.com/v1/media/files/6004974/contents/Online%20-%20%20Create%20a%20digital%20collage%20about%20a%20topic%20you%20choose%20together-01.png,1,1,1,"Choose a topic to make a collage to represent your relationship, your dreams, or whatever is important to you right now. Open a Google Drawing and share it with your friend. Then add some of your photos, or find images online. It's like an old school collage, but digital.",1,1,4,,
,5,1,82,,Touch Me There,https://api.fliplet.com/v1/media/files/5991234/contents/Touch%201%20%281%29.png,,1,,Guide a partner to touch you just how you'd like. Pleasure or pain? You decide.,,,,1,
,5,1,83,,Share A Fantasy,https://api.fliplet.com/v1/media/files/6004989/contents/Share%20%20a%20Fantasy-01%20%281%29.jpg,,1,1,"Tell your twisted dreams, in all the sexy details",,,5,1,
,5,1,84,,We Serve Our Queen,https://api.fliplet.com/v1/media/files/5979515/contents/husband-same-person.jpg,,1,,"A group of willing 'slaves' strive to meet her every desire. If you're the Queen, be ready to give your commands. If you're a slave, follow her orders or else exclaim ""My Queen, I am not worthy!"".",,,,1,
,5,1,85,,Beautiful Bodies,https://api.fliplet.com/v1/media/files/6002532/contents/18%2B%20beautiful%20bodies-01-01.jpg,,1,1,Bare as you dare... then relax as your group gets comfortable with all the shapes and curves of the human form and discuss how they feel about their flesh.,,,11,1,
,5,1,86,,Sexy stories,https://api.fliplet.com/v1/media/files/6004987/contents/18%2B%20-%20Sexy%20story%20%281%29.jpg,,1,1,"Tell a story of a steamy encounter, with some parts are true and others are pure fiction. Nobody needs to know which are which.",,,,1,
,5,1,87,,Nipple Worship,https://api.fliplet.com/v1/media/files/6004988/contents/18%2B%20-%20Sexy%20story2%20%20or%20NippleWorship%20%281%29.jpg,,1,,Why do men's nipples get all the sunshine? Redress the balance by finding creative ways to show every nipple some love.,,,,1,
,5,1,88,,Human Twister,https://api.fliplet.com/v1/media/files/5979515/contents/husband-same-person.jpg,,1,1,"Just like regular Twister, but with human bodies as the ""mat"".",,,,1,
,5,1,89,,Go skinny dipping,https://api.fliplet.com/v1/media/files/6004990/contents/skinny%20dipping%20%282%29.jpg,,1,1,"Go to a lake or the sea, get wild and naked and enjoy the connection with nature.",,,,1,
